Person,,,Accuracy,,,Average Reaction Time,,,,,,,,,
1st,,,88.30%,,,1.41,,,,,,,,,
2nd,,,83.40%,,,1.24,,,,,,,,,
3rd,,,82.30%,,,1.59,,,,,,,,,
4th,,,92.20%,,,1.4,,,,,,,,,
5th,,,92.70%,,,1.65,,,,,,,,,
6th,,,91.40%,,,1.33,,,,,,,,,
7th,,,94.80%,,,1.85,,,,,,,,,
8th,,,99%,,,1.23,,,,,,,,,
9th,,,87.40%,,,1.26,,,,,,,,,
10th,,,88.10%,,,1.34,,,,,,,,,
11th,,,95.60%,,,1.31,,,,,,,,,
12th,,,97.90%,,,1.86,,,,,,,,,
13th,,,95.70%,,,1.57,,,,,,,,,
14th,,,94.70%,,,1.39,,,,,,,,,
15th,,,95%,,,1.49,,,,,,,,,
16th,,,97.70%,,,2.09,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
